order_id,total_qty,total_weight_gr,total_returned_qty,Total Diskon,product_categories,num_product_categories,Status Pesanan,Alasan Pembatalan,Opsi Pengiriman,Metode Pembayaran,Kota/Kabupaten,Provinsi,Ongkos Kirim Dibayar oleh Pembeli,Estimasi Potongan Biaya Pengiriman,Total Pembayaran,Perkiraan Ongkos Kirim,_dataset_id,_dataset_name,_domain,_dataset_period,_source_file,_source_path
ORD_0004333,1,100,0,0,Aksesoris Pintu,1,Batal,Dibatalkan oleh Pembeli. Alasan: Lainnya/ berubah pikiran,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KOTA JAKARTA TIMUR,DKI JAKARTA,0,0,0,8000,ecommerce_2024_12_december,E-Commerce Sales - December 2024,ecommerce_sales,2024-12,03_DecemberSales2024_clean.xlsx,data/raw/Indonesian_Ecommerce_sales/03_DecemberSales2024_clean.xlsx
ORD_0004334,2,400,0,0,Mangkok Sambal / Saus,1,Selesai,,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KOTA PALEMBANG,SUMATERA SELATAN,0,17000,32200,17000,ecommerce_2024_12_december,E-Commerce Sales - December 2024,ecommerce_sales,2024-12,03_DecemberSales2024_clean.xlsx,data/raw/Indonesian_Ecommerce_sales/03_DecemberSales2024_clean.xlsx
ORD_0004335,1,200,0,0,Plastik / Wadah Plastik,1,Selesai,,Hemat Kargo-SPX Hemat,Online Payment,KOTA JAKARTA TIMUR,DKI JAKARTA,0,8000,18481,8000,ecommerce_2024_12_december,E-Commerce Sales - December 2024,ecommerce_sales,2024-12,03_DecemberSales2024_clean.xlsx,data/raw/Indonesian_Ecommerce_sales/03_DecemberSales2024_clean.xlsx
ORD_0004336,1,500,0,0,Celengan,1,Selesai,,Reguler (Cashless)-SPX Standard,COD (Bayar di Tempat),KAB. SUKABUMI,JAWA BARAT,0,18000,9900,18000,ecommerce_2024_12_december,E-Commerce Sales - December 2024,ecommerce_sales,2024-12,03_DecemberSales2024_clean.xlsx,data/raw/Indonesian_Ecommerce_sales/03_DecemberSales2024_clean.xlsx
ORD_0004337,2,160,0,0,Aksesoris Pintu,1,Selesai,,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KAB. KUTAI BARAT,KALIMANTAN TIMUR,19400,30000,31576,49400,ecommerce_2024_12_december,E-Commerce Sales - December 2024,ecommerce_sales,2024-12,03_DecemberSales2024_clean.xlsx,data/raw/Indonesian_Ecommerce_sales/03_DecemberSales2024_clean.xlsx
ORD_0004338,1,300,0,0,Peralatan Kamar Mandi,1,Selesai,,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KAB. LAMPUNG TENGAH,LAMPUNG,13200,20000,32408,33200,ecommerce_2024_12_december,E-Commerce Sales - December 2024,ecommerce_sales,2024-12,03_DecemberSales2024_clean.xlsx,data/raw/Indonesian_Ecommerce_sales/03_DecemberSales2024_clean.xlsx
ORD_0004339,1,1000,0,0,Tempat Nasi,1,Selesai,,Hemat Kargo-SPX Hemat,Saldo ShopeePay,KAB. KENDAL,JAWA TENGAH,0,16000,22500,16000,ecommerce_2024_12_december,E-Commerce Sales - December 2024,ecommerce_sales,2024-12,03_DecemberSales2024_clean.xlsx,data/raw/Indonesian_Ecommerce_sales/03_DecemberSales2024_clean.xlsx
ORD_0004340,1,100,0,0,Aksesoris Pintu,1,Selesai,,Hemat Kargo-SPX Hemat,Saldo ShopeePay,KOTA TANGERANG,BANTEN,0,8000,11500,8000,ecommerce_2024_12_december,E-Commerce Sales - December 2024,ecommerce_sales,2024-12,03_DecemberSales2024_clean.xlsx,data/raw/Indonesian_Ecommerce_sales/03_DecemberSales2024_clean.xlsx
ORD_0004341,1,500,0,0,Celengan,1,Batal,Dibatalkan oleh Pembeli. Alasan: Ubah Pesanan yang Ada,Hemat Kargo-SPX Hemat,Saldo ShopeePay,KAB. TANGERANG,BANTEN,0,0,0,8000,ecommerce_2024_12_december,E-Commerce Sales - December 2024,ecommerce_sales,2024-12,03_DecemberSales2024_clean.xlsx,data/raw/Indonesian_Ecommerce_sales/03_DecemberSales2024_clean.xlsx
ORD_0004342,2,1000,1,0,Celengan,1,Selesai,,Hemat Kargo-SPX Hemat,Saldo ShopeePay,KAB. TANGERANG,BANTEN,0,8000,21300,8000,ecommerce_2024_12_december,E-Commerce Sales - December 2024,ecommerce_sales,2024-12,03_DecemberSales2024_clean.xlsx,data/raw/Indonesian_Ecommerce_sales/03_DecemberSales2024_clean.xlsx
ORD_0004343,1,500,0,0,Celengan,1,Selesai,,Reguler (Cashless)-SPX Standard,Online Payment,KAB. BANDUNG,JAWA BARAT,0,14000,21800,14000,ecommerce_2024_12_december,E-Commerce Sales - December 2024,ecommerce_sales,2024-12,03_DecemberSales2024_clean.xlsx,data/raw/Indonesian_Ecommerce_sales/03_DecemberSales2024_clean.xlsx
