order_id,total_qty,total_weight_gr,total_returned_qty,Total Diskon,product_categories,num_product_categories,Status Pesanan,Alasan Pembatalan,Opsi Pengiriman,Metode Pembayaran,Kota/Kabupaten,Provinsi,Ongkos Kirim Dibayar oleh Pembeli,Estimasi Potongan Biaya Pengiriman,Total Pembayaran,Perkiraan Ongkos Kirim,Waktu Pesanan Dibuat,_dataset_id,_dataset_name,_domain,_dataset_period,_source_file,_source_path
ORD_0015090,1,200,0,0,Mangkok Sambal / Saus,1,Selesai,,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KOTA PADANG,SUMATERA BARAT,15000,0,32499,15000,2025-11-02 13:27,ecommerce_2025_11_november,E-Commerce Sales - November 2025,ecommerce_sales,2025-11,06_NovemberSales2025_clean.xlsx,data/raw/Indonesian_Ecommerce_sales/06_NovemberSales2025_clean.xlsx
ORD_0015091,3,4500,0,0,Celengan,1,Selesai,,Reguler (Cashless)-JNE Reguler,Saldo ShopeePay,KAB. BOGOR,JAWA BARAT,0,8500,57900,8500,2025-11-02 13:32,ecommerce_2025_11_november,E-Commerce Sales - November 2025,ecommerce_sales,2025-11,06_NovemberSales2025_clean.xlsx,data/raw/Indonesian_Ecommerce_sales/06_NovemberSales2025_clean.xlsx
ORD_0015092,1,200,0,0,Mangkok Sambal / Saus,1,Selesai,,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KAB. KARAWANG,JAWA BARAT,0,3500,17000,3500,2025-11-02 13:33,ecommerce_2025_11_november,E-Commerce Sales - November 2025,ecommerce_sales,2025-11,06_NovemberSales2025_clean.xlsx,data/raw/Indonesian_Ecommerce_sales/06_NovemberSales2025_clean.xlsx
ORD_0015093,1,500,0,0,Celengan,1,Batal,Dibatalkan oleh Pembeli. Alasan: Ubah Pesanan yang Ada,Hemat Kargo-SPX Hemat,Online Payment,KOTA BEKASI,JAWA BARAT,0,0,0,3500,2025-11-02 16:34,ecommerce_2025_11_november,E-Commerce Sales - November 2025,ecommerce_sales,2025-11,06_NovemberSales2025_clean.xlsx,data/raw/Indonesian_Ecommerce_sales/06_NovemberSales2025_clean.xlsx
ORD_0015094,2,160,0,0,Aksesoris Pintu,1,Batal,Dibatalkan oleh Pembeli. Alasan: Lainnya/ berubah pikiran,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KOTA TANGERANG SELATAN,BANTEN,0,0,0,3500,2025-11-02 16:46,ecommerce_2025_11_november,E-Commerce Sales - November 2025,ecommerce_sales,2025-11,06_NovemberSales2025_clean.xlsx,data/raw/Indonesian_Ecommerce_sales/06_NovemberSales2025_clean.xlsx
ORD_0015095,2,160,0,0,Aksesoris Pintu,1,Selesai,,Hemat Kargo-SPX Hemat,Online Payment,KOTA TANGERANG SELATAN,BANTEN,0,3500,16500,3500,2025-11-02 16:47,ecommerce_2025_11_november,E-Commerce Sales - November 2025,ecommerce_sales,2025-11,06_NovemberSales2025_clean.xlsx,data/raw/Indonesian_Ecommerce_sales/06_NovemberSales2025_clean.xlsx
ORD_0015096,5,2130,0,0,"Mangkok Sambal / Saus, Perlengkapan Packing",2,Selesai,,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KAB. DHARMASRAYA,SUMATERA BARAT,0,15000,54997,15000,2025-11-02 16:53,ecommerce_2025_11_november,E-Commerce Sales - November 2025,ecommerce_sales,2025-11,06_NovemberSales2025_clean.xlsx,data/raw/Indonesian_Ecommerce_sales/06_NovemberSales2025_clean.xlsx
ORD_0015097,1,500,0,0,Celengan,1,Selesai,,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KOTA SINGKAWANG,KALIMANTAN BARAT,0,12000,22000,12000,2025-11-02 16:56,ecommerce_2025_11_november,E-Commerce Sales - November 2025,ecommerce_sales,2025-11,06_NovemberSales2025_clean.xlsx,data/raw/Indonesian_Ecommerce_sales/06_NovemberSales2025_clean.xlsx
ORD_0015098,1,500,0,0,Celengan,1,Selesai,,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KAB. MALANG,JAWA TIMUR,0,5000,18900,5000,2025-11-02 17:00,ecommerce_2025_11_november,E-Commerce Sales - November 2025,ecommerce_sales,2025-11,06_NovemberSales2025_clean.xlsx,data/raw/Indonesian_Ecommerce_sales/06_NovemberSales2025_clean.xlsx
ORD_0015099,2,600,0,0,Mangkok Sambal / Saus,1,Selesai,,Hemat Kargo-SPX Hemat,SeaBank Bayar Instan,KOTA JAKARTA UTARA,DKI JAKARTA,0,3500,30371,3500,2025-11-02 17:07,ecommerce_2025_11_november,E-Commerce Sales - November 2025,ecommerce_sales,2025-11,06_NovemberSales2025_clean.xlsx,data/raw/Indonesian_Ecommerce_sales/06_NovemberSales2025_clean.xlsx
