order_id,dataset_id,nama_dataset,periode,tanggal_pesanan,tanggal_diisi_dari_median,status_pesanan,alasan_pembatalan,kategori_produk,jumlah_kategori_produk,jumlah_barang,berat_total_gram,jumlah_return,diskon_total,metode_pembayaran,opsi_pengiriman,kota_kabupaten,provinsi,ongkir_dibayar_pembeli,potongan_ongkir,total_pembayaran,perkiraan_ongkir,tahun,bulan,tahun_bulan,kategori_umum,outlier_total_pembayaran,total_pembayaran_capped
ORD_0015630,ecommerce_2025_11_november,November 2025,2025-11,2025-11-16 23:01:00,False,Selesai,,Mangkok Sambal / Saus,1.0,3.0,600.0,0.0,0.0,COD (Bayar di Tempat),Hemat Kargo-SPX Hemat,KAB. MESUJI,LAMPUNG,0.0,11000.0,46997.0,11000.0,2025,11,2025-11,Belanja,False,46997.0
ORD_0015631,ecommerce_2025_11_november,November 2025,2025-11,2025-11-16 23:19:00,False,Selesai,,Aksesoris Pintu,1.0,2.0,160.0,0.0,0.0,COD (Bayar di Tempat),Hemat Kargo-SPX Hemat,KOTA SALATIGA,JAWA TENGAH,0.0,5000.0,16000.0,5000.0,2025,11,2025-11,Belanja,False,16000.0
ORD_0015632,ecommerce_2025_11_november,November 2025,2025-11,2025-11-17 00:05:00,False,Selesai,,Mangkok Sambal / Saus,1.0,1.0,300.0,0.0,0.0,COD (Bayar di Tempat),Hemat Kargo-SPX Hemat,KAB. KAMPAR,RIAU,0.0,15000.0,17000.0,15000.0,2025,11,2025-11,Belanja,False,17000.0
ORD_0015633,ecommerce_2025_11_november,November 2025,2025-11,2025-11-17 05:58:00,False,Selesai,,Nampan / Tray,1.0,5.0,1750.0,0.0,0.0,Online Payment,Instant-SPX Instant,KOTA TANGERANG,BANTEN,0.0,10000.0,33088.0,10000.0,2025,11,2025-11,Belanja,False,33088.0
ORD_0015634,ecommerce_2025_11_november,November 2025,2025-11,2025-11-17 06:37:00,False,Sedang Dikirim,,Celengan,1.0,1.0,500.0,0.0,0.0,COD (Bayar di Tempat),Hemat Kargo-SPX Hemat,KAB. BONE,SULAWESI SELATAN,0.0,11000.0,20000.0,11000.0,2025,11,2025-11,Belanja,False,20000.0
ORD_0015635,ecommerce_2025_11_november,November 2025,2025-11,2025-11-17 08:09:00,False,Selesai,,Mangkok Sambal / Saus,1.0,1.0,200.0,0.0,0.0,COD (Bayar di Tempat),Hemat Kargo-SPX Hemat,KAB. MUSI BANYUASIN,SUMATERA SELATAN,0.0,13000.0,17499.0,13000.0,2025,11,2025-11,Belanja,False,17499.0
ORD_0015636,ecommerce_2025_11_november,November 2025,2025-11,2025-11-17 09:30:00,False,Selesai,,Mangkok Sambal / Saus,1.0,1.0,200.0,0.0,0.0,COD (Bayar di Tempat),Hemat Kargo-SPX Hemat,KAB. OGAN KOMERING ULU SELATAN,SUMATERA SELATAN,0.0,13000.0,16999.0,13000.0,2025,11,2025-11,Belanja,False,16999.0
ORD_0015637,ecommerce_2025_11_november,November 2025,2025-11,2025-11-17 10:40:00,False,Selesai,,Baskom / Mangkok Besar,1.0,3.0,1500.0,0.0,0.0,COD (Bayar di Tempat),Hemat Kargo-SPX Hemat,KAB. KEPULAUAN MERANTI,RIAU,0.0,18000.0,38000.0,18000.0,2025,11,2025-11,Belanja,False,38000.0
ORD_0015638,ecommerce_2025_11_november,November 2025,2025-11,2025-11-17 11:10:00,False,Selesai,,Mangkok Sambal / Saus,1.0,1.0,200.0,0.0,0.0,SeaBank Bayar Instan,Hemat Kargo-SPX Hemat,KOTA CILEGON,BANTEN,0.0,3500.0,15674.0,3500.0,2025,11,2025-11,Belanja,False,15674.0
ORD_0015639,ecommerce_2025_11_november,November 2025,2025-11,2025-11-17 11:14:00,False,Selesai,,Mangkok Sambal / Saus,1.0,1.0,200.0,0.0,0.0,COD (Bayar di Tempat),Hemat Kargo-SPX Hemat,KAB. KARAWANG,JAWA BARAT,0.0,3500.0,17500.0,3500.0,2025,11,2025-11,Belanja,False,17500.0
